zAbs,zMes,Ka,Kb,La,Lb,Ll,Ma,Mb
O,Al,1590,1403,0,0,0,0,0
O,Si,1032,889,0,0,0,0,0
O,P,685,577,0,0,0,0,0
O,S,464,384,0,0,0,0,0
O,Cl,320,260,0,0,0,0,0
O,Ar,225,180,0,0,0,0,0
O,K,161,127,0,0,0,0,0
O,Ca,116,91,3598,3598,0,0,0
O,Sc,86,66,2480,2402,0,0,0
O,Ti,64,49,1751,1692,0,0,0
O,V,48,37,1268,1217,0,0,0
O,Cr,37,28,17765,17053,0,0,0
O,Mn,29,21,13809,13205,0,0,0
O,Fe,22,17,10813,10308,0,0,0
O,Co,18,13,8552,8158,0,0,0
O,Ni,14,10,6784,6457,0,0,0
O,Cu,11,8,5444,5159,0,0,0
O,Zn,9,7,4391,4145,0,0,0
O,Ga,7,5,3558,3341,0,0,0
O,Ge,6,4,2897,2707,0,0,0
O,As,5,4,2369,2205,0,0,0
O,Se,4,3,1950,1805,0,0,0
O,Br,3,2,1611,1482,0,0,0
O,Kr,3,2,1334,1222,0,0,0
O,Rb,2,2,1112,1013,0,0,0
O,Sr,2,1,929,842,0,0,0
O,Y,2,1,780,702,0,0,0
O,Zr,1,1,658,588,0,0,0
O,Nb,1,1,556,494,0,0,0
